"","x"
"1",2016-01-01
"2",2016-01-02
"3",2016-01-03
"4",2016-01-04
"5",2016-01-05
"6",2016-01-06
"7",2016-01-07
"8",2016-01-08
"9",2016-01-09
"10",2016-01-10
"11",2016-01-11
"12",2016-01-12
"13",2016-01-13
"14",2016-01-14
"15",2016-01-15
"16",2016-01-16
"17",2016-01-17
"18",2016-01-18
"19",2016-01-19
"20",2016-01-20
"21",2016-01-21
"22",2016-01-22
"23",2016-01-23
"24",2016-01-24
"25",2016-01-25
"26",2016-01-26
"27",2016-01-27
"28",2016-01-28
"29",2016-01-29
"30",2016-01-30
"31",2016-01-31
"32",2016-02-01
"33",2016-02-02
"34",2016-02-03
"35",2016-02-04
"36",2016-02-05
"37",2016-02-06
"38",2016-02-07
"39",2016-02-08
"40",2016-02-09
"41",2016-02-10
"42",2016-02-11
"43",2016-02-12
"44",2016-02-13
"45",2016-02-14
"46",2016-02-15
"47",2016-02-16
"48",2016-02-17
"49",2016-02-18
"50",2016-02-19
"51",2016-02-20
"52",2016-02-21
"53",2016-02-22
"54",2016-02-23
"55",2016-02-24
"56",2016-02-25
"57",2016-02-26
"58",2016-02-27
"59",2016-02-28
"60",2016-02-29
"61",2016-03-01
"62",2016-03-02
"63",2016-03-03
"64",2016-03-04
"65",2016-03-05
"66",2016-03-06
"67",2016-03-07
"68",2016-03-08
"69",2016-03-09
"70",2016-03-10
"71",2016-03-11
"72",2016-03-12
"73",2016-03-13
"74",2016-03-14
"75",2016-03-15
"76",2016-03-16
"77",2016-03-17
"78",2016-03-18
"79",2016-03-19
"80",2016-03-20
"81",2016-03-21
"82",2016-03-22
"83",2016-03-23
"84",2016-03-24
"85",2016-03-25
"86",2016-03-26
"87",2016-03-27
"88",2016-03-28
"89",2016-03-29
"90",2016-03-30
"91",2016-03-31
"92",2016-04-01
"93",2016-04-02
"94",2016-04-03
"95",2016-04-04
"96",2016-04-05
"97",2016-04-06
"98",2016-04-07
"99",2016-04-08
"100",2016-04-09
"101",2016-04-10
"102",2016-04-11
"103",2016-04-12
"104",2016-04-13
"105",2016-04-14
"106",2016-04-15
"107",2016-04-16
"108",2016-04-17
"109",2016-04-18
"110",2016-04-19
"111",2016-04-20
"112",2016-04-21
"113",2016-04-22
"114",2016-04-23
"115",2016-04-24
"116",2016-04-25
"117",2016-04-26
"118",2016-04-27
"119",2016-04-28
"120",2016-04-29
"121",2016-04-30
"122",2016-05-01
"123",2016-05-02
"124",2016-05-03
"125",2016-05-04
"126",2016-05-05
"127",2016-05-06
"128",2016-05-07
"129",2016-05-08
"130",2016-05-09
"131",2016-05-10
"132",2016-05-11
"133",2016-05-12
"134",2016-05-13
"135",2016-05-14
"136",2016-05-15
"137",2016-05-16
"138",2016-05-17
"139",2016-05-18
"140",2016-05-19
"141",2016-05-20
"142",2016-05-21
"143",2016-05-22
"144",2016-05-23
"145",2016-05-24
"146",2016-05-25
"147",2016-05-26
"148",2016-05-27
"149",2016-05-28
"150",2016-05-29
"151",2016-05-30
"152",2016-05-31
"153",2016-06-01
"154",2016-06-02
"155",2016-06-03
"156",2016-06-04
"157",2016-06-05
"158",2016-06-06
"159",2016-06-07
"160",2016-06-08
"161",2016-06-09
"162",2016-06-10
"163",2016-06-11
"164",2016-06-12
"165",2016-06-13
"166",2016-06-14
"167",2016-06-15
