"","Datum","Klant","Technische.tekening","Aantal","Materiaal","Levertermijn","Productiedatum","Complexiteit","Snijlijn","Kosten"
"1",2016-01-01,"Janssen Fencing",TRUE,89,"RVS 10mm",5,2016-01-03,8,9,1513
"2",2016-01-01,"Maja Metal Art",TRUE,88,"RVS 10mm",5,2016-01-03,7,3,880
"3",2016-01-01,"Waalwijk Machinebouw",TRUE,203,"RVS 10mm",5,2016-01-03,1,6,1421
"4",2016-01-01,"Noach Jachtbouw",TRUE,81,"RVS 10mm",5,2016-01-03,3,3,486
"5",2016-01-02,"Metaal Combinatie Kanfort",TRUE,177,"RVS 10mm",5,2016-01-04,4,1,885
"6",2016-01-02,"Metaalbouw Veluwe",TRUE,91,"Staal 7mm",5,2016-01-04,10,5,1365
"7",2016-01-02,"Aga Scheepsbouw",TRUE,133,"Staal 7mm",5,2016-01-04,10,9,2527
"8",2016-01-02,"Borculo Maritieme Techniek",TRUE,243,"RVS 10mm",5,2016-01-04,1,1,486
"9",2016-01-03,"Karel Nieuwdam",TRUE,117,"Staal 7mm",5,2016-01-05,3,2,585
"10",2016-01-03,"Larson Automotive Engineering",TRUE,120,"RVS 7mm",5,2016-01-05,2,4,720
"11",2016-01-03,"Office Builders",TRUE,59,"RVS 7mm",5,2016-01-05,9,4,767
"12",2016-01-03,"Mink Industrial Metal Ware",TRUE,194,"RVS 7mm",5,2016-01-05,9,10,3686
"13",2016-01-03,"KSW",TRUE,131,"RVS 10mm",5,2016-01-05,5,5,1310
"14",2016-01-03,"Borderwijk Industrial Processing",TRUE,222,"RVS 7mm",5,2016-01-05,3,2,1110
"15",2016-01-03,"Kuster Roasting Machines",TRUE,123,"RVS 10mm",5,2016-01-05,9,5,1722
"16",2016-01-04,"Rico Metaal",TRUE,129,"Staal 7mm",5,2016-01-06,8,4,1548
"17",2016-01-04,"Janssen Fencing",TRUE,147,"RVS 10mm",5,2016-01-06,8,5,1911
"18",2016-01-04,"Waalwijk Machinebouw",TRUE,77,"RVS 7mm",5,2016-01-06,6,5,847
"19",2016-01-04,"Borderwijk Robotics",TRUE,52,"Staal 7mm",5,2016-01-06,6,10,832
"20",2016-01-04,"Borculo Maritieme Techniek",TRUE,114,"RVS 10mm",5,2016-01-06,2,10,1368
"21",2016-01-05,"Krom BV",TRUE,108,"Staal 7mm",5,2016-01-07,2,2,432
"22",2016-01-05,"Janssen Fencing",TRUE,121,"Staal 7mm",5,2016-01-07,9,5,1694
"23",2016-01-05,"Special Scaffoldings",TRUE,112,"RVS 7mm",5,2016-01-07,7,3,1120
"24",2016-01-05,"Railtron",TRUE,105,"RVS 7mm",5,2016-01-07,6,9,1575
"25",2016-01-05,"Aga Scheepsbouw",TRUE,60,"RVS 10mm",5,2016-01-07,1,2,180
"26",2016-01-05,"Sandon Foodprocessing",TRUE,183,"RVS 7mm",5,2016-01-07,6,10,2928
"27",2016-01-06,"Karel Nieuwdam",TRUE,117,"RVS 10mm",5,2016-01-08,8,3,1287
"28",2016-01-06,"Pyro Mechanics",TRUE,97,"RVS 10mm",5,2016-01-08,8,5,1261
"29",2016-01-06,"Kopa Products",TRUE,200,"RVS 10mm",5,2016-01-08,5,5,2000
"30",2016-01-06,"Uniebouw Isolatietechnologie",TRUE,215,"RVS 7mm",5,2016-01-08,5,1,1290
"31",2016-01-06,"Aga Scheepsbouw",TRUE,62,"RVS 7mm",5,2016-01-08,3,3,372
"32",2016-01-06,"Dutch Robot Builders",TRUE,115,"Staal 7mm",5,2016-01-08,3,7,1150
"33",2016-01-06,"Dutch Robot Builders",TRUE,52,"RVS 10mm",5,2016-01-08,8,2,520
"34",2016-01-02,"Kimble Building Site Logistics",TRUE,119,"RVS 10mm",10,2016-01-09,6,5,1309
"35",2016-01-07,"Bis BV",TRUE,61,"Staal 7mm",5,2016-01-09,9,7,976
"36",2016-01-07,"Railtron",TRUE,96,"Staal 7mm",5,2016-01-09,9,8,1632
"37",2016-01-07,"Wimmers Bouwketen",TRUE,132,"RVS 7mm",5,2016-01-09,4,8,1584
"38",2016-01-07,"Mink Industrial Metal Ware",TRUE,13,"Staal 7mm",5,2016-01-09,9,4,169
"39",2016-01-07,"Laardam Kasbouw",TRUE,185,"Staal 7mm",5,2016-01-09,2,2,740
"40",2016-01-08,"Hattink Spare Parts",TRUE,123,"Staal 7mm",5,2016-01-10,3,5,984
"41",2016-01-08,"King Truck Parts",TRUE,81,"Staal 7mm",5,2016-01-10,6,1,567
"42",2016-01-08,"Andersen Koeltechnologie",TRUE,109,"RVS 7mm",5,2016-01-10,8,3,1199
"43",2016-01-08,"Breda Containerbouw",TRUE,140,"RVS 10mm",5,2016-01-10,4,5,1260
"44",2016-01-08,"Noach Jachtbouw",TRUE,92,"RVS 10mm",5,2016-01-10,9,9,1656
"45",2016-01-08,"Borculo Maritieme Techniek",TRUE,49,"RVS 10mm",5,2016-01-10,7,6,637
"46",2016-01-04,"Kimble Building Site Logistics",TRUE,58,"Staal 7mm",10,2016-01-11,7,9,928
"47",2016-01-04,"Hattink Spare Parts",TRUE,40,"RVS 10mm",10,2016-01-11,4,4,320
"48",2016-01-09,"KSW",TRUE,115,"Staal 7mm",5,2016-01-11,4,3,805
"49",2016-01-09,"Dai Compressors",TRUE,203,"Staal 7mm",5,2016-01-11,9,7,3248
"50",2016-01-09,"Kopa Products",TRUE,82,"RVS 10mm",5,2016-01-11,1,6,574
"51",2016-01-09,"Larson Automotive Engineering",TRUE,80,"Staal 7mm",5,2016-01-11,6,8,1120
"52",2016-01-10,"Larson Automotive Engineering",TRUE,18,"RVS 7mm",5,2016-01-12,7,5,216
"53",2016-01-10,"Pol Opleggers",TRUE,66,"Staal 7mm",5,2016-01-12,4,9,858
"54",2016-01-10,"Dutch Robot Builders",TRUE,106,"Staal 7mm",5,2016-01-12,4,10,1484
"55",2016-01-10,"FTME",TRUE,112,"Staal 7mm",5,2016-01-12,4,10,1568
"56",2016-01-06,"Bis BV",TRUE,66,"Staal 7mm",10,2016-01-13,1,9,660
"57",2016-01-11,"DTMetal",TRUE,78,"RVS 7mm",5,2016-01-13,5,5,780
"58",2016-01-11,"Metaalbouw Veluwe",TRUE,42,"RVS 10mm",5,2016-01-13,10,5,630
"59",2016-01-11,"Aga Scheepsbouw",TRUE,167,"Staal 7mm",5,2016-01-13,2,1,501
"60",2016-01-11,"Kuster Roasting Machines",TRUE,180,"RVS 10mm",5,2016-01-13,9,7,2880
"61",2016-01-11,"Kimble Building Site Logistics",TRUE,112,"Staal 7mm",5,2016-01-13,10,8,2016
"62",2016-01-07,"KSW",TRUE,23,"Staal 7mm",10,2016-01-14,5,7,276
"63",2016-01-07,"BASKO",TRUE,81,"Staal 7mm",10,2016-01-14,2,7,729
"64",2016-01-12,"SODIA",TRUE,21,"RVS 7mm",5,2016-01-14,5,8,273
"65",2016-01-12,"Breda Containerbouw",TRUE,81,"Staal 7mm",5,2016-01-14,5,10,1215
"66",2016-01-08,"Dai Compressors",TRUE,55,"Staal 7mm",10,2016-01-15,7,7,770
